30/3/2020 21:35:35 Se conecto con ip:169.57.142.76 SE: 1519427592
30/3/2020 21:36:58 Agarro:1 Objeto:Túnica Perseus (Bajo/as)
30/3/2020 21:38:14 /TELEPLOC a x:30 Y:49 Map:49
30/3/2020 21:38:16 /TELEPLOC a x:32 Y:50 Map:49
30/3/2020 21:38:16 /TELEPLOC a x:31 Y:50 Map:49
30/3/2020 21:38:17 /TELEPLOC a x:30 Y:50 Map:49
30/3/2020 21:38:17 /TELEPLOC a x:32 Y:48 Map:49
30/3/2020 21:38:17 /TELEPLOC a x:30 Y:50 Map:49
30/3/2020 21:38:17 /TELEPLOC a x:31 Y:51 Map:49
30/3/2020 21:38:17 /TELEPLOC a x:33 Y:45 Map:49
30/3/2020 21:38:18 /TELEPLOC a x:30 Y:52 Map:49
30/3/2020 21:38:18 /TELEPLOC a x:31 Y:51 Map:49
30/3/2020 21:38:28 /TELEPLOC a x:31 Y:50 Map:49
30/3/2020 21:38:28 /TELEPLOC a x:32 Y:50 Map:49
30/3/2020 21:38:28 /TELEPLOC a x:32 Y:49 Map:49
30/3/2020 21:38:28 /TELEPLOC a x:33 Y:51 Map:49
30/3/2020 21:38:28 /TELEPLOC a x:31 Y:52 Map:49
30/3/2020 21:38:29 /TELEPLOC a x:31 Y:51 Map:49
30/3/2020 21:39:25 /TELEPLOC a x:30 Y:48 Map:49
30/3/2020 21:39:26 /TELEPLOC a x:31 Y:50 Map:49
30/3/2020 21:44:02 /TELEPLOC a x:31 Y:52 Map:49
30/3/2020 21:44:11 /TELEPLOC a x:30 Y:51 Map:49
30/3/2020 21:49:24 /INVISIBLE
30/3/2020 21:49:29 /TELEPLOC a x:26 Y:51 Map:49
30/3/2020 21:49:30 /TELEPLOC a x:27 Y:50 Map:49
30/3/2020 21:50:45 Transporto a BriTchE hacia Mapa150 X:50 Y:50
30/3/2020 21:51:10 /TELEPLOC a x:46 Y:50 Map:150
30/3/2020 21:51:11 /TELEPLOC a x:42 Y:51 Map:150
30/3/2020 21:51:11 /TELEPLOC a x:42 Y:51 Map:150
