5/12/2020 6:31:37 PM Se conecto con ip:190.246.236.21 SE: 415356385
5/12/2020 6:33:28 PM Agarro:1 Objeto:Túnica Perseus (Alto/as)
5/12/2020 6:33:44 PM /TELEPLOC a x:55 Y:53 Map:49
5/12/2020 6:33:45 PM /TELEPLOC a x:59 Y:52 Map:49
5/12/2020 6:33:45 PM /TELEPLOC a x:63 Y:51 Map:49
5/12/2020 6:33:45 PM /TELEPLOC a x:64 Y:50 Map:49
5/12/2020 6:33:45 PM /TELEPLOC a x:69 Y:49 Map:49
5/12/2020 6:33:45 PM /TELEPLOC a x:70 Y:48 Map:49
5/12/2020 6:33:46 PM /TELEPLOC a x:70 Y:48 Map:49
5/12/2020 6:33:46 PM /TELEPLOC a x:68 Y:49 Map:49
5/12/2020 6:33:46 PM /TELEPLOC a x:68 Y:49 Map:49
5/12/2020 6:33:46 PM /TELEPLOC a x:66 Y:50 Map:49
5/12/2020 6:33:47 PM /TELEPLOC a x:64 Y:51 Map:49
5/12/2020 6:33:47 PM /TELEPLOC a x:62 Y:52 Map:49
5/12/2020 6:33:47 PM /TELEPLOC a x:60 Y:53 Map:49
5/12/2020 6:33:48 PM /TELEPLOC a x:61 Y:52 Map:49
5/12/2020 6:33:49 PM /TELEPLOC a x:60 Y:52 Map:49
5/12/2020 6:33:49 PM /TELEPLOC a x:59 Y:52 Map:49
5/12/2020 6:34:32 PM /INVISIBLE
5/12/2020 6:34:42 PM /INVISIBLE
5/12/2020 6:34:44 PM /TELEPLOC a x:60 Y:53 Map:49
5/12/2020 6:34:45 PM /TELEPLOC a x:60 Y:53 Map:49
5/12/2020 6:34:45 PM /TELEPLOC a x:59 Y:54 Map:49
5/12/2020 6:34:45 PM /TELEPLOC a x:58 Y:55 Map:49
5/12/2020 6:34:45 PM /TELEPLOC a x:56 Y:54 Map:49
5/12/2020 6:34:46 PM /TELEPLOC a x:54 Y:50 Map:49
5/12/2020 6:34:47 PM /TELEPLOC a x:57 Y:51 Map:49
5/12/2020 6:34:48 PM /TELEPLOC a x:57 Y:53 Map:49
5/12/2020 7:10:44 PM Se conecto con ip:190.246.236.21 SE: 415356385
5/12/2020 7:13:30 PM /INVISIBLE
5/12/2020 7:17:01 PM /INVISIBLE
5/12/2020 7:21:00 PM /INVISIBLE
5/12/2020 7:21:04 PM /TELEPLOC a x:56 Y:54 Map:49
5/12/2020 7:21:05 PM /TELEPLOC a x:61 Y:54 Map:49
5/12/2020 7:21:05 PM /TELEPLOC a x:63 Y:52 Map:49
5/12/2020 7:21:08 PM /TELEPLOC a x:58 Y:57 Map:49
5/12/2020 7:21:08 PM /TELEPLOC a x:53 Y:61 Map:49
5/12/2020 7:21:10 PM /TELEPLOC a x:47 Y:60 Map:49
5/12/2020 7:21:11 PM /TELEPLOC a x:43 Y:58 Map:49
5/12/2020 7:21:12 PM /TELEPLOC a x:43 Y:54 Map:49
5/12/2020 7:21:16 PM /TELEPLOC a x:45 Y:52 Map:49
5/12/2020 7:22:17 PM /TELEPLOC a x:45 Y:51 Map:143
5/12/2020 7:22:17 PM /TELEPLOC a x:40 Y:52 Map:143
5/12/2020 7:22:18 PM /TELEPLOC a x:36 Y:50 Map:143
5/12/2020 7:22:19 PM /TELEPLOC a x:33 Y:46 Map:143
5/12/2020 7:22:20 PM /TELEPLOC a x:32 Y:41 Map:143
5/12/2020 7:22:21 PM /TELEPLOC a x:29 Y:38 Map:143
